ID	Name	Definition	Synonyms	URI	is obsolete
CHEBI_16113	cholesterol	A cholestanoid consisting of cholestane having a double bond at the 5,6-position as well as a 3beta-hydroxy group.	Cholesterol,CHOLESTEROL,cholest-5-en-3beta-ol,Cholest-5-en-3beta-ol,(3beta,14beta,17alpha)-cholest-5-en-3-ol,Cholesterin	http://purl.obolibrary.org/obo/CHEBI_16113	false
CHEBI_3098	bile acid	Any member of a group of hydroxy-5beta-cholanic acids occuring in bile, where they are present as the sodium salts of their amides with glycine or taurine. In mammals bile acids almost invariably have 5beta-configuration.	Bile acid,5beta-bile acids,Gallensaeuren,Bile salt,bile acids,5beta-bile acid,Gallensaeure	http://purl.obolibrary.org/obo/CHEBI_3098	false
CHEBI_3766	clozapine	A benzodiazepine that is 5H-dibenzo[b,e][1,4]diazepine substituted by a chloro group at position 8 and a 4-methylpiperazin-1-yl group at position 11. It is a second generation antipsychotic used in the treatment of psychiatric disorders like  schizophrenia.	8-chloro-11-(4-methylpiperazin-1-yl)-5H-dibenzo[b,e][1,4]diazepine,Clozapine,clozapina,Clozapin,clozapinum	http://purl.obolibrary.org/obo/CHEBI_3766	false
CHEBI_47778	glyceride	Any ester resulting from the condensation of one or more of the hydroxy groups of glycerol (propane-1,2,3-triol) with fatty acids.	glycerides,glycerides,acylglycerols	http://purl.obolibrary.org/obo/CHEBI_47778	false
CHEBI_5613	haloperidol	A compound composed of a central piperidine structure with hydroxy and p-chlorophenyl substituents at position 4 and an N-linked p-fluorobutyrophenone moiety.	4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,Haldol,4'-fluoro-4-(4-hydroxy-4-(4'-chlorophenyl)piperidino)butyrophenone,1-(3-p-fluorobenzoylpropyl)-4-p-chlorophenyl-4-hydroxypiperidine,4-(4-(para-chlorophenyl)-4-hydroxypiperidino)-4'-fluorobutyrophenone,4'-fluoro-4-(4-(p-chlorophenyl)-4-hydroxypiperidinyl)butyrophenone,gamma-(4-(p-chlorophenyl)-4-hydroxpiperidino)-p-fluorbutyrophenone,haloperidolum,4-[4-(4-chlorophenyl)-4-hydroxy-1-piperidyl]-1-(4-fluorophenyl)-butan-1-one	http://purl.obolibrary.org/obo/CHEBI_5613	false
CHEBI_59163	biomarker	A substance used as an indicator of a biological state.	biological marker	http://purl.obolibrary.org/obo/CHEBI_59163	false
CHEBI_60479	lysophosphatidylcholine	An acylglycerophosphocholine resulting from partial hydrolysis of a phosphatidylcholine, which removes one of the fatty acyl groups. The structure is depicted in the image where R1 = acyl, R2 = H or where R1 = H, R2 = acyl.	lysophosphatidylcholines,monoacylglycero-3-phosphocholine	http://purl.obolibrary.org/obo/CHEBI_60479	false
CHEBI_6437	levetiracetam	A pyrrolidinone and carboxamide that is N-methylpyrrolidin-2-one in which one of the methyl hydrogens is replaced by an aminocarbonyl group, while another is replaced by an ethyl group (the S enantiomer). An anticonvulsant, it is used for the treatment of epilepsy in both human and veterinary medicine.	(2S)-2-(2-oxopyrrolidin-1-yl)butanamide,Levetiracetam,(S)-alpha-ethyl-2-oxo-1-pyrrolidineacetamide,levetiracetamum,Keppra,UCB-L 059,(-)-(S)-alpha-ethyl-2-oxo-1-pyrrolidineacetamide,(S)-(-)-alpha-ethyl-2-oxo-1-pyrrolidineacetamide,	http://purl.obolibrary.org/obo/CHEBI_6437	false
CHEBI_64482	phosphatidylcholine	A glycerophosphocholine that is glycero-3-phosphocholine bearing two acyl substituents at positions 1 and 2.	2,3-bis(acyloxy)propyl 2-(trimethylammonio)ethyl phosphate,a phosphatidylcholine (0),1,2-diacyl-glycero-3-phosphocholine	http://purl.obolibrary.org/obo/CHEBI_64482	false
CHMO_0000104	bright-field microscopy	Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective.	bright field microscopy,transmitted-light microscopy,bright-field optical microscopy,transmitted light microscopy	http://purl.obolibrary.org/obo/CHMO_0000104	false
